concatenated_source,source_publisher,source_product,source_full_version,source_availability,source_end_of_support
Micro Focus - AcuGLMSSQL - 10.4.0,Micro Focus,AcuGLMSSQL,10.4.0,2021-04-29,
Micro Focus - AcuGLMSSQL - 10.3,Micro Focus,AcuGLMSSQL,10.3,2020-06-30,2021-11-30
Micro Focus - AcuGLMSSQL - 10.3,Micro Focus,AcuGLMSSQL,10.3,2019-11-27,2021-04-30
Micro Focus - AcuGLMSSQL - 10.0,Micro Focus,AcuGLMSSQL,10.0,,
Micro Focus - AcuGLMSSQL - 10.0,Micro Focus,AcuGLMSSQL,10.0,,
Micro Focus - AcuGLMSSQL - 10.1,Micro Focus,AcuGLMSSQL,10.1,,
Micro Focus - AcuGLMSSQL - 10.1,Micro Focus,AcuGLMSSQL,10.1,,
Micro Focus - AcuGLMSSQL - 10.2,Micro Focus,AcuGLMSSQL,10.2,,
Micro Focus - AcuGLMSSQL - 10.2,Micro Focus,AcuGLMSSQL,10.2,,
Micro Focus - AcuGLMSSQL - 4.2,Micro Focus,AcuGLMSSQL,4.2,,2006-10-31
Micro Focus - AcuGLMSSQL - 5.0,Micro Focus,AcuGLMSSQL,5.0,,2006-10-31
Micro Focus - AcuGLMSSQL - 5.10.3,Micro Focus,AcuGLMSSQL,5.10.3,,2006-10-31
Micro Focus - AcuGLMSSQL - 5.10.4,Micro Focus,AcuGLMSSQL,5.10.4,,2006-10-31
Micro Focus - AcuGLMSSQL - 5.2,Micro Focus,AcuGLMSSQL,5.2,,2006-10-31
Micro Focus - AcuGLMSSQL - 5.20.1,Micro Focus,AcuGLMSSQL,5.20.1,,2006-10-31
Micro Focus - AcuGLMSSQL - 5.2,Micro Focus,AcuGLMSSQL,5.2,,2006-10-31
Micro Focus - AcuGLMSSQL - 6.0,Micro Focus,AcuGLMSSQL,6.0,,2008-12-31
Micro Focus - AcuGLMSSQL - 6.1,Micro Focus,AcuGLMSSQL,6.1,,2008-12-31
Micro Focus - AcuGLMSSQL - 6.2,Micro Focus,AcuGLMSSQL,6.2,,2008-12-31
Micro Focus - AcuGLMSSQL - 6.20.1,Micro Focus,AcuGLMSSQL,6.20.1,,2008-12-31
Micro Focus - AcuGLMSSQL - 7.0,Micro Focus,AcuGLMSSQL,7.0,,2010-12-31
Micro Focus - AcuGLMSSQL - 7.0,Micro Focus,AcuGLMSSQL,7.0,,2010-12-31
Micro Focus - AcuGLMSSQL - 7.2,Micro Focus,AcuGLMSSQL,7.2,,2010-12-31
Micro Focus - AcuGLMSSQL - 7.2,Micro Focus,AcuGLMSSQL,7.2,,2010-12-31
Micro Focus - AcuGLMSSQL - 7.2,Micro Focus,AcuGLMSSQL,7.2,,2010-12-31
Micro Focus - AcuGLMSSQL - 8.0,Micro Focus,AcuGLMSSQL,8.0,,2017-02-28
Micro Focus - AcuGLMSSQL - 8.0,Micro Focus,AcuGLMSSQL,8.0,,2017-02-28
Micro Focus - AcuGLMSSQL - 8.1,Micro Focus,AcuGLMSSQL,8.1,,2017-02-28
Micro Focus - AcuGLMSSQL - 8.1,Micro Focus,AcuGLMSSQL,8.1,,2017-02-28
Micro Focus - AcuGLMSSQL - 8.1,Micro Focus,AcuGLMSSQL,8.1,,2017-02-28
Micro Focus - AcuGLMSSQL - 8.1,Micro Focus,AcuGLMSSQL,8.1,,2017-02-28
Micro Focus - AcuGLMSSQL - 9.0,Micro Focus,AcuGLMSSQL,9.0,,
Micro Focus - AcuGLMSSQL - 9.0,Micro Focus,AcuGLMSSQL,9.0,,
Micro Focus - AcuGLMSSQL - 9.1,Micro Focus,AcuGLMSSQL,9.1,,
Micro Focus - AcuGLMSSQL - 9.1,Micro Focus,AcuGLMSSQL,9.1,,
Micro Focus - AcuGLMSSQL - 9.1,Micro Focus,AcuGLMSSQL,9.1,,
Micro Focus - AcuGLMSSQL - 9.12.1,Micro Focus,AcuGLMSSQL,9.12.1,,
Micro Focus - AcuGLMSSQL - 9.2,Micro Focus,AcuGLMSSQL,9.2,,
Micro Focus - AcuGLMSSQL - 9.2,Micro Focus,AcuGLMSSQL,9.2,,
Micro Focus - AcuGLMSSQL - 9.2,Micro Focus,AcuGLMSSQL,9.2,,
Micro Focus - AcuGLMSSQL - 9.2,Micro Focus,AcuGLMSSQL,9.2,,
Micro Focus - AcuGLMSSQL - 9.2,Micro Focus,AcuGLMSSQL,9.2,,
Micro Focus - AcuGLMSSQL - 9.2,Micro Focus,AcuGLMSSQL,9.2,,
Micro Focus - AcuGLODBC - 10.4.0,Micro Focus,AcuGLODBC,10.4.0,2021-04-29,
Micro Focus - AcuGLODBC - 10.3,Micro Focus,AcuGLODBC,10.3,2020-06-30,2021-11-30
Micro Focus - AcuGLODBC - 10.3,Micro Focus,AcuGLODBC,10.3,2019-11-27,2021-04-30
Micro Focus - AcuGLODBC - 10.0,Micro Focus,AcuGLODBC,10.0,,
Micro Focus - AcuGLODBC - 10.0,Micro Focus,AcuGLODBC,10.0,,
Micro Focus - AcuGLODBC - 10.1,Micro Focus,AcuGLODBC,10.1,,
Micro Focus - AcuGLODBC - 10.1,Micro Focus,AcuGLODBC,10.1,,
Micro Focus - AcuGLODBC - 10.2,Micro Focus,AcuGLODBC,10.2,,
Micro Focus - AcuGLODBC - 10.2,Micro Focus,AcuGLODBC,10.2,,
Micro Focus - AcuGLODBC - 5.20.1,Micro Focus,AcuGLODBC,5.20.1,,2006-10-31
Micro Focus - AcuGLODBC - 5.2,Micro Focus,AcuGLODBC,5.2,,2006-10-31
Micro Focus - AcuGLODBC - 5.21.1,Micro Focus,AcuGLODBC,5.21.1,,2006-10-31
Micro Focus - AcuGLODBC - 6.0,Micro Focus,AcuGLODBC,6.0,,2008-12-31
Micro Focus - AcuGLODBC - 6.1,Micro Focus,AcuGLODBC,6.1,,2008-12-31
Micro Focus - AcuGLODBC - 6.2,Micro Focus,AcuGLODBC,6.2,,2008-12-31
Micro Focus - AcuGLODBC - 6.20.1,Micro Focus,AcuGLODBC,6.20.1,,2008-12-31
Micro Focus - AcuGLODBC - 7.0,Micro Focus,AcuGLODBC,7.0,,2010-12-31
Micro Focus - AcuGLODBC - 7.0,Micro Focus,AcuGLODBC,7.0,,2010-12-31
Micro Focus - AcuGLODBC - 7.0,Micro Focus,AcuGLODBC,7.0,,2010-12-31
