concatenated_source,source_publisher,source_product,source_full_version,source_availability,source_end_of_support
Micro Focus - DimensionsCM - 141.0.4,Micro Focus,DimensionsCM,141.0.4,29/03/14,31/12/15
Micro Focus - DimensionsCMR2 - 20092,Micro Focus,DimensionsCMR2,20092,14/12/09,31/07/12
Micro Focus - DimensionsCMR1 - 20091.01,Micro Focus,DimensionsCMR1,20091.01,30/07/09,31/07/12
Micro Focus - DimensionsCMR1 - 20091,Micro Focus,DimensionsCMR1,20091,31/05/09,31/07/12
Micro Focus - DimensionsCM - 51.0,Micro Focus,DimensionsCM,51,06/10/00,31/12/04
Micro Focus - DimensionsCM - 52.0,Micro Focus,DimensionsCM,52,28/03/00,31/12/04
Micro Focus - DimensionsCM - 61.2,Micro Focus,DimensionsCM,61.2,06/04/01,31/12/05
Micro Focus - DimensionsCM - 61.1,Micro Focus,DimensionsCM,61.1,06/10/00,31/12/05
Micro Focus - DimensionsCM - 71.x,Micro Focus,DimensionsCM,71.x,27/06/03,31/12/06
Micro Focus - DimensionsCM - 71.3,Micro Focus,DimensionsCM,71.3,16/06/03,31/12/06
Micro Focus - DimensionsCM - 71.2,Micro Focus,DimensionsCM,71.2,16/12/02,31/12/06
Micro Focus - DimensionsCM - 72.x,Micro Focus,DimensionsCM,72.x,09/10/02,31/12/06
Micro Focus - DimensionsCM - 70,Micro Focus,DimensionsCM,70,15/07/01,31/12/06
Micro Focus - DimensionsCM5x - 80.5,Micro Focus,DimensionsCM5x,80.5,31/01/05,31/12/07
Micro Focus - DimensionsCM4x - 80.4,Micro Focus,DimensionsCM4x,80.4,04/06/04,31/12/07
Micro Focus - DimensionsCM - 85.0,Micro Focus,DimensionsCM,85,12/03/04,31/12/07
Micro Focus - DimensionsCM3x - 80.3,Micro Focus,DimensionsCM3x,80.3,19/12/03,31/12/07
Micro Focus - DimensionsCM - 80.21,Micro Focus,DimensionsCM,80.21,15/10/03,31/12/07
Micro Focus - DimensionsCM2x - 80.2,Micro Focus,DimensionsCM2x,80.2,15/10/03,31/12/07
Micro Focus - DimensionsCM - 80.20,Micro Focus,DimensionsCM,80.2,21/08/03,31/12/07
Micro Focus - DimensionsCM - 80.13,Micro Focus,DimensionsCM,80.13,06/06/03,31/12/07
Micro Focus - DimensionsCM - 91.3,Micro Focus,DimensionsCM,91.3,27/01/06,30/09/09
Micro Focus - DimensionsCM - 91.2,Micro Focus,DimensionsCM,91.2,30/05/05,30/09/09
Micro Focus - DimensionsCM - 91.0,Micro Focus,DimensionsCM,91,05/11/04,30/09/09
Micro Focus - DimensionsDockerRegistry - 143.2,Micro Focus,DimensionsDockerRegistry,143.2,,31/05/18
Micro Focus - DimensionsDockerRegistry - 143.3,Micro Focus,DimensionsDockerRegistry,143.3,,
Micro Focus - DimensionsGITConnector - 143.3,Micro Focus,DimensionsGITConnector,143.3,23/05/17,30/09/20
Micro Focus - DimensionsGITConnector - 143.2,Micro Focus,DimensionsGITConnector,143.2,,31/05/18
Micro Focus - DimensionsReplicator - 101.0,Micro Focus,DimensionsReplicator,101,,31/01/11
Micro Focus - DimensionsReplicator - 101.1,Micro Focus,DimensionsReplicator,101.1,,31/01/11
Micro Focus - DimensionsRM - 101.0,Micro Focus,DimensionsRM,101,,31/05/11
Micro Focus - DimensionsRM - 101.1,Micro Focus,DimensionsRM,101.1,,31/05/11
Micro Focus - DimensionsRM - 101.1.1,Micro Focus,DimensionsRM,101.1.1,,31/05/11
Micro Focus - DimensionsRM - 101.2,Micro Focus,DimensionsRM,101.2,,31/05/11
Micro Focus - DimensionsRM - 101.2.1,Micro Focus,DimensionsRM,101.2.1,,31/05/11
Micro Focus - DimensionsRM - 101.3,Micro Focus,DimensionsRM,101.3,,31/05/11
Micro Focus - DimensionsRM - 101.4,Micro Focus,DimensionsRM,101.4,,31/05/11
Micro Focus - DimensionsRM - 112.1,Micro Focus,DimensionsRM,112.1,,01/02/14
Micro Focus - DimensionsRM - 112.2,Micro Focus,DimensionsRM,112.2,,01/02/14
Micro Focus - DimensionsRM - 112.3,Micro Focus,DimensionsRM,112.3,,01/02/14
Micro Focus - DimensionsRM - 112.4,Micro Focus,DimensionsRM,112.4,,01/02/14
Micro Focus - DimensionsRM - 12.8.1,Micro Focus,DimensionsRM,12.8.1,11/03/21,31/03/23
Micro Focus - DimensionsRM - 12.8,Micro Focus,DimensionsRM,12.8,12/08/20,31/08/22
Micro Focus - DimensionsRM - 12.7.1,Micro Focus,DimensionsRM,12.7.1,31/10/19,30/11/21
Micro Focus - DimensionsRM - 127,Micro Focus,DimensionsRM,127,27/06/19,30/06/21
Micro Focus - DimensionsRM - 126.2,Micro Focus,DimensionsRM,126.2,21/02/19,31/05/21
Micro Focus - DimensionsRM - 126.1,Micro Focus,DimensionsRM,126.1,26/07/18,30/06/20
Micro Focus - DimensionsRM - 126,Micro Focus,DimensionsRM,126,08/03/18,30/06/20
Micro Focus - DimensionsRM - 125.1,Micro Focus,DimensionsRM,125.1,01/09/17,30/11/19
Micro Focus - DimensionsRM - 125,Micro Focus,DimensionsRM,125,16/05/17,31/08/19
Micro Focus - DimensionsRM - 124.1,Micro Focus,DimensionsRM,124.1,15/09/16,31/12/18
Micro Focus - DimensionsRM - 121,Micro Focus,DimensionsRM,121,,30/12/15
Micro Focus - DimensionsRM - 121.1,Micro Focus,DimensionsRM,121.1,,30/12/15
Micro Focus - DimensionsRM - 122,Micro Focus,DimensionsRM,122,,31/07/16
Micro Focus - DimensionsRM - 122.1,Micro Focus,DimensionsRM,122.1,,31/07/16
Micro Focus - DimensionsRM - 123,Micro Focus,DimensionsRM,123,,30/04/17
Micro Focus - DimensionsRM - 123.1,Micro Focus,DimensionsRM,123.1,,30/04/17
Micro Focus - DimensionsRM - 124,Micro Focus,DimensionsRM,124,,18/05/18
Micro Focus - DimensionsRMR1 - 20091,Micro Focus,DimensionsRMR1,20091,,31/05/11
Micro Focus - DimensionsRMR1 - 20091.01,Micro Focus,DimensionsRMR1,20091.01,,31/05/11
Micro Focus - DimensionsRMR2 - 20092,Micro Focus,DimensionsRMR2,20092,,31/01/12
Micro Focus - DimensionsRM - 40,Micro Focus,DimensionsRM,40,,01/09/06
Micro Focus - DimensionsRM - 40.1,Micro Focus,DimensionsRM,40.1,,01/09/06
Micro Focus - DimensionsRM - 45,Micro Focus,DimensionsRM,45,,01/09/06
Micro Focus - DimensionsRM - 53.6,Micro Focus,DimensionsRM,53.6,,01/09/06
Micro Focus - DimensionsRM - 55.0,Micro Focus,DimensionsRM,55,,01/09/06
Micro Focus - DimensionsRM - 56.0,Micro Focus,DimensionsRM,56,,01/09/06
Micro Focus - DirectoryResourceAdministrator - 10.1,Micro Focus,DirectoryResourceAdministrator,10.1,30/06/21,31/12/22
Micro Focus - DirectoryResourceAdministrator - 10.0,Micro Focus,DirectoryResourceAdministrator,10,27/04/20,31/03/22
Micro Focus - DirectoryResourceAdministrator - 8.7,Micro Focus,DirectoryResourceAdministrator,8.7,09/09/13,30/09/16
Micro Focus - DirectoryResourceAdministrator - 8.6,Micro Focus,DirectoryResourceAdministrator,8.6,17/09/10,30/09/14
Micro Focus - DirectoryResourceAdministrator - 8.5,Micro Focus,DirectoryResourceAdministrator,8.5,25/08/09,25/08/11
Micro Focus - DirectoryResourceAdministrator - 9.2,Micro Focus,DirectoryResourceAdministrator,9.2,20/07/18,30/04/21
Micro Focus - DirectoryResourceAdministrator - 9.1,Micro Focus,DirectoryResourceAdministrator,9.1,29/06/17,31/07/19
