productName,productFullId,productId
Enterprise Server 2.1,row3068,3068
Enterprise Server 2.2,row3069,3069
Enterprise Server 2.3,row3070,3070
Enterprise Server 3.0,row3071,3071
Enterprise Server 4.0,row3072,3072
Enterprise Server 5.0,row3073,3073
Enterprise Server 6.0,row6868,6868
Enterprise Server for .NET 2.3,row3074,3074
Enterprise Server for .NET 3.0,row3075,3075
Enterprise Server for .NET 4.0,row3076,3076
Enterprise Server for .NET 5.0,row3077,3077
Enterprise Server for .NET 6.0,row6867,6867
Enterprise Sync 2,row3078,3078
Enterprise Test Server 2.0,row3082,3082
Enterprise Test Server 2.1,row3083,3083
Enterprise Test Server 2.2,row3084,3084
Enterprise Test Server 2.3,row3085,3085
Enterprise Test Server 3.0,row3086,3086
Enterprise Test Server 4.0,row3087,3087
Enterprise Test Server 5.0,row3088,3088
Enterprise Test Server 6.0,row6866,6866
Enterprise View,row3089,3089
Enterprise View Express,row6891,6891
EnterpriseLink,row3095,3095
EuroSmart 2.3.44 1.0,row3119,3119
ExpressLane 2.1 1.0,row3120,3120
Extra! 6530 Client Option 9,row2292,2292
Extra! X-treme 9,row2302,2302
File Dynamics 6,row2310,2310
File Reporter,row2312,2312
File Reporter 2,row2313,2313
File Reporter 3,row2314,2314
File Reporter 4,row7482,7482
FileXpress Gateway 1,row2317,2317
Filr 2,row2318,2318
Filr 3,row2319,2319
Filr 4,row2321,2321
Fortify 4,row6583,6583
Fortify Application Express Edition Suite,row6454,6454
Fortify Application Premium Edition Suite,row6455,6455
Fortify Application Ultimate Edition Suite,row6456,6456
Fortify Scanner,row7181,7181
Forum 8,row2325,2325
Functional Testing 11.0x,row3686,3686
GitCentric 2017 1,row3126,3126
Group Policy Administrator 6,row2326,2326
GroupWise 2014,row2337,2337
GroupWise Disaster Recovery 18,row2340,2340
Groupwise Forensics 18,row2341,2341
GroupWise Mailbox Management 18,row2342,2342
GroupWise Reporting and Monitoring 18,row2346,2346
GroupWise TeamWorks 18,row2347,2347
GWAVA 4,row2349,2349
GWAVA 6,row6599,6599
Host Access Analyzer,row7535,7535
Host Access for the Cloud 2,row2351,2351
Host Access Management and Security Server (Access License) 12,row2384,2384
Host Access Management and Security Server - Advanced Authentication Add-On 12,row2353,2353
Host Access Management and Security Server - Automated Sign-On for Mainframe Add-On 12,row2359,2359
Host Access Management and Security Server - PKI Automated Sign-On Add-On 12,row2365,2365
Host Access Management and Security Server - Security Proxy Add-On 12,row2372,2372
Host Access Management and Security Server - Terminal ID Management Add-On 12,row2378,2378
Host Access Management and Security Server 12,row2389,2389
Host Compatibility Option 3.0.08 1.0,row3127,3127
Identity Governance 3,row2399,2399
Identity Manager 4,row2402,2402
IDOL 10,row3719,3719
IDOL 11,row3732,3732
IDOL 12,row3740,3740
iManager 3,row2410,2410
IMS ASCII Option 3.1.55 1.0,row3128,3128
IMS EBCDIC Option 3.1.55 1.0,row3129,3129
IMS Production Option 3.1.55 1.0,row3130,3130
InfoConnect Airlines Gateway 2,row2411,2411
InfoConnect Airlines Gateway 3,row2415,2415
InfoConnect Desktop Pro for Airlines 16,row2451,2451
InfoConnect Desktop Pro for Unisys 16,row2457,2457
InfoConnect Desktop Pro for Unisys with X 16,row2463,2463
InfoConnect Enterprise Edition for Airlines 9,row2469,2469
InfoConnect Enterprise Edition for Airlines Print and Transaction Router (PTR) 9,row2482,2482
InfoConnect Enterprise Edition for Airlines Print and Transaction Router Plus (PTRPlus) 9,row2489,2489
InfoConnect Enterprise Edition for Airlines Print and Transaction Router Server (PTRServer) 9,row2496,2496
InfoConnect Enterprise Edition for Airlines PTR Plus 9,row2503,2503
InfoConnect Enterprise Edition for Airlines PTR Server 9,row2505,2505
InfoConnect Enterprise Edition for Airlines PTR32 9,row2507,2507
"InfoConnect Enterprise Edition for Airlines, IBM and Open Systems 9",row2511,2511
"InfoConnect Enterprise Edition for Unisys, IBM and Open Systems 9",row2539,2539
iPrint Appliance 3,row2561,2561
iPrint Appliance 4,row2562,2562
ISV License Utility 10,row3131,3131
ISV License Utility 9,row3138,3138
Janeva Server 6,row3149,3149
kb-AIM 5,row3152,3152
kb-AIM CMS 3,row3156,3156
kb-AIM CMS 4,row3159,3159
kb-AIM Code for iSeries 3,row3165,3165
kb-AIM Code for iSeries 4.0 00,row3168,3168
kb-AIM Code for zSeries 3,row3169,3169
kb-AIM Code for zSeries 4.0 00,row3172,3172
kb-AIM Data for iSeries 3,row3173,3173
kb-AIM Data for xSeries 3,row3177,3177
kb-AIM Data for zSeries 3,row3180,3180
KeyView 10,row3791,3791
KeyView 11,row3804,3804
KeyView 12,row3812,3812
Legal Hold 3,row3823,3823
Librados 3.4 0,row3185,3185
LoadRunner 11,row3831,3831
LoadRunner Enterprise 2021,row7157,7157
LoadRunner Professional 2021,row7156,7156
Mainframe Express 2.5,row3186,3186
Mainframe Express 3,row6392,6392
Mainframe Express Enterprise Edition 3,row3189,3189
Mainframe Manager 2.0.1 1.0,row3191,3191
Mainframe Suite for IBM Rational Development and Test for System Z 1.0 0,row3192,3192
Meritage 8 0.02,row3193,3193
Messenger 2,row2570,2570
Messenger 3,row2573,2573
Micro Focus Academic Program 2.1 0,row6328,6328
Modernization Workbench,row3223,3223
Modernization Workbench - Architect,row3194,3194
Modernization Workbench - BRM,row3205,3205
Modernization Workbench - Enterprise View,row3216,3216
myCMDB 4,row2576,2576
myMO 4,row2580,2580
myMO Executive Dashboard 4,row2583,2583
Net Express,row6689,6689
Net Express 3,row6306,6306
Net Express 4,row6309,6309
Net Express 5,row6311,6311
Net Express for Eclipse 5.1 WS 9,row3271,3271
Net Express with .NET 4.5 00,row3272,3272
Network Virtualization,row6962,6962
Network Virtualization for LoadRunner and Performance Center,row6963,6963
Network Virtualization for Mobile,row6838,6838
Novell Client for SUSE Linux Enterprise Desktop 10,row2592,2592
Novell Client for SUSE Linux Enterprise Desktop 11,row2593,2593
Novell Client for Windows,row2594,2594
Object COBOL Developer Suite 4,row3273,3273
OnWeb Connectors,row3279,3279
OnWeb Server,row3282,3282
OnWeb Web to Host,row3289,3289
Open PL/I 7,row3313,3313
Open PL/I 8,row3316,3316
Open Workgroup Suite Small Business Edition 2,row2616,2616
OpenFusion CORBA Services,row7510,7510
OpenFusion JacORB,row7511,7511
OpenFusion RTOrb Ada Edition 3.0,row3332,3332
OpenFusion RTOrb Java Edition 1,row3333,3333
OpenFusion Security 3.1 SP5,row3338,3338
OpenFusion TAO 1,row3339,3339
OpenFusion TAO 2,row3343,3343
Operations Center 5,row2619,2619
Optimal Advisor 4,row3349,3349
Optimal Trace Enterprise Edition 5,row3353,3353
Optimal Trace Professional Edition 5,row3358,3358
Orbacus 3.3 SP4,row3359,3359
Orbacus 4,row3360,3360
Orbacus Notify 2,row3364,3364
Orbix 2.3,row3367,3367
Orbix 3,row3368,3368
Orbix 5.1,row3372,3372
Orbix 6,row3373,3373
Orbix Mainframe,row7394,7394
Orbix/E for ANSI C/C++ 2.1,row3380,3380
OSX 4.0.38 1.0,row3381,3381
Performance Center 11,row4180,4180
PKI Services Manager 8,row7332,7332
PlateSpin Forge 11,row6630,6630
Platespin Migrate 12,row2624,2624
PlateSpin Migrate 2018,row6913,6913
PlateSpin Migrate 2019,row2628,2628
PlateSpin Migrate 2020,row6914,6914
PlateSpin Protect 11,row6631,6631
PlateSpin Transformation Manager 2019.5,row2632,2632
Policy Compliance Assessor 1,row2633,2633
Portfolio Edge 2 0.0,row3382,3382
Portfolio Edge 3 1.0,row3383,3383
Privileged Account Manager 3,row2635,2635
Privileged Account Manager 4,row7232,7232
Project & Portfolio Management Deployment Management Extension for SAP 9.1x,row4204,4204
Project and Portfolio Management 9,row4212,4212
Project Office 4,row3384,3384
Project Portfolio Mgmt On Demand 1 0,row3403,3403
Project Portfolio Mgmt On Demand 10,row3404,3404
Project Portfolio Mgmt On Demand 2008 R3,row3407,3407
Project Portfolio Mgmt On Demand 2009 R1,row3408,3408
Project Portfolio Mgmt On Demand 2010 R1,row3409,3409
Project& Portfolio Management Deployment Management Extension for SAP 9,row4218,4218
Projects On Demand 2008 R1,row3410,3410
Projects On Demand 6 1.0,row3411,3411
Prototype Composer 2,row3412,3412
Prototype Composer 2009 R1,row3417,3417
Prototype Composer 3,row3418,3418
PROXMVS 16-bit 1.3.32 1.0,row3423,3423
PROXMVS 32-bit 1.3.32 1.0,row3424,3424
PVCS Professional Suite 10,row3425,3425
PVCS Professional Suite 11,row3431,3431
PVCS Professional Suite 6 8.10GA,row3438,3438
PVCS Professional Suite 7,row3439,3439
PVCS Professional Suite 8,row3443,3443
PVCS Professional Suite 9,row3446,3446
PVCS Professional Suite JLP 8 0.03,row3453,3453
PVCS Professional Suite Plus 3,row3454,3454
PVCS Reporter 1 0.00,row3461,3461
PVCS Tracker 10,row3462,3462
PVCS Tracker 2 3,row3468,3468
PVCS Tracker 2009 R2,row3469,3469
PVCS Tracker 3 7.11,row3470,3470
PVCS Tracker 5 0.10GA,row3471,3471
PVCS Tracker 6,row3472,3472
PVCS Tracker 7,row3480,3480
PVCS Tracker 8,row3485,3485
PVCS Tracker 9 4.2,row3494,3494
PVCS Tracker I-Net 6,row3496,3496
PVCS Tracker I-Net 7,row3499,3499
PVCS Tracker I-NET 8,row3507,3507
PVCS Version Manager 1-4,row3511,3511
PVCS Version Manager 5,row3514,3514
PVCS Version Manager 6,row3518,3518
PVCS Version Manager 7,row3535,3535
PVCS Version Manager 8.0-8.5,row3546,3546
PVCS Version Manager 8.6.x,row6501,6501
QADirector 5,row3622,3622
QADirector 6,row3623,3623
QALoad 5,row3627,3627
QARun 4,row3631,3631
Quality Center/Quality Center Enterprise,row6369,6369
QuickTest Professional 11,row4244,4244
QuickTest Professional Essentials 11,row4245,4245
QuickTest Professional Essentials 12,row4246,4246
Reconcile 2,row3634,3634
Records Manager 8,row4253,4253
Reflection 2014 15.6 R1,row2653,2653
Reflection Automated Sign-On for Mainframe 2014 Add-On 12.1,row2663,2663
Reflection Desktop for UNIX and OpenVMS 16,row2682,2682
Reflection Desktop for X 16,row2688,2688
Reflection for IBM 2008 15.2,row2743,2743
Reflection for IBM 2011 15,row2744,2744
Reflection for IBM 2014 15.6,row2748,2748
Reflection for NonStop 2008 Add-On 15.2,row2749,2749
Reflection for NonStop 2011 Add-On 15,row2750,2750
Reflection for NonStop 2014 Add-On 15.6 R1,row2754,2754
Reflection for Secure IT Client for UNIX 7,row2756,2756
Reflection for Secure IT Client for UNIX 8,row2760,2760
Reflection for Secure IT Client for Windows 7,row2765,2765
Reflection for Secure IT Client for Windows 8,row2774,2774
Reflection for Secure IT Gateway 1,row2778,2778
Reflection for Secure IT Server for UNIX 7,row2783,2783
Reflection for Secure IT Server for UNIX 8,row2787,2787
Reflection for Secure IT Server for Windows 7,row2792,2792
Reflection for Secure IT Server for Windows 8,row2796,2796
Reflection for Secure IT Web Edition 8,row2803,2803
Reflection for the Web 12,row7459,7459
Reflection for the Web 13,row7460,7460
Reflection for UNIX and OpenVMS 2008 15.2,row4357,4357
Reflection for UNIX and OpenVMS 2011 15,row4358,4358
Reflection for UNIX and OpenVMS 2014 15.6 R1,row4362,4362
Reflection Mobile 2.05 572,row4363,4363
Reflection PKI Auto Sign-on Add-On Client 1.0,row4364,4364
Reflection Pro 2014 15,row4375,4375
Reflection Security Gateway 2014 Limited Edition 12,row4382,4382
Reflection Standard Suite 2008 15.2,row4385,4385
Reflection Standard Suite 2011 15,row4386,4386
Reflection Suite for X 14,row4398,4398
Reflection Suite for X 2011 15,row4413,4413
Reflection X 14,row4425,4425
Reflection X 2011 15,row4441,4441
Reflection X 2014 15.6 R1,row4445,4445
Reflection X Advantage 3,row4450,4450
